ID	Label	Type (is-a)
ID	A rdfs:label	C %
http://purl.obolibrary.org/obo/BFO_0000001	entity	owl:Thing
http://purl.obolibrary.org/obo/BFO_0000002	continuant	entity
http://purl.obolibrary.org/obo/BFO_0000003	occurrent	entity
http://purl.obolibrary.org/obo/BFO_0000004	independent continuant	continuant
http://purl.obolibrary.org/obo/BFO_0000040	material entity	independent continuant
http://purl.obolibrary.org/obo/BFO_0000020	specifically dependent continuant	continuant
http://purl.obolibrary.org/obo/BFO_0000019	quality	specifically dependent continuant
http://purl.obolibrary.org/obo/PATO_0000001	quality	specifically dependent continuant
http://purl.obolibrary.org/obo/BFO_0000029	site	independent continuant
http://purl.obolibrary.org/obo/BFO_0000015	process	occurrent
http://purl.obolibrary.org/obo/BFO_0000011	spatiotemporal region	occurrent
http://purl.obolibrary.org/obo/MCO_0000342	growth phase	spatiotemporal region
http://purl.obolibrary.org/obo/MCO_0000366	exponential phase	growth phase
http://purl.obolibrary.org/obo/MCO_0000368	stationary phase	growth phase
